sample	cell	drug	dose	time	tissue
SF-295_topotecan_0nM_24h	SF-295	topotecan	0nM	24h	CNS
SF-539_topotecan_0nM_24h	SF-539	topotecan	0nM	24h	CNS
SK-MEL-2_topotecan_0nM_24h	SK-MEL-2	topotecan	0nM	24h	Melanoma
SK-MEL-28_topotecan_0nM_24h	SK-MEL-28	topotecan	0nM	24h	Melanoma
SK-MEL-5_topotecan_0nM_24h	SK-MEL-5	topotecan	0nM	24h	Melanoma
SK-OV-3_topotecan_0nM_24h	SK-OV-3	topotecan	0nM	24h	Ovarian
SN12C_topotecan_0nM_24h	SN12C	topotecan	0nM	24h	Renal
SNB-75_topotecan_0nM_24h	SNB-75	topotecan	0nM	24h	CNS
SR_topotecan_0nM_24h	SR	topotecan	0nM	24h	Leukemia
SW-620_topotecan_0nM_24h	SW-620	topotecan	0nM	24h	Colon
T-47D_topotecan_0nM_24h	T-47D	topotecan	0nM	24h	Breast
TK-10_topotecan_0nM_24h	TK-10	topotecan	0nM	24h	Renal
U251_topotecan_0nM_24h	U251	topotecan	0nM	24h	CNS
UACC-257_topotecan_0nM_24h	UACC-257	topotecan	0nM	24h	Melanoma
UACC-62_topotecan_0nM_24h	UACC-62	topotecan	0nM	24h	Melanoma
UO-31_topotecan_0nM_24h	UO-31	topotecan	0nM	24h	Renal
786-0_vorinostat_0nM_24h	786-0	vorinostat	0nM	24h	Renal
A498_vorinostat_0nM_24h	A498	vorinostat	0nM	24h	Renal
A549_vorinostat_0nM_24h	A549	vorinostat	0nM	24h	Lung
ACHN_vorinostat_0nM_24h	ACHN	vorinostat	0nM	24h	Renal
BT-549_vorinostat_0nM_24h	BT-549	vorinostat	0nM	24h	Breast
CAKI-1_vorinostat_0nM_24h	CAKI-1	vorinostat	0nM	24h	Renal
CCRF-CEM_vorinostat_0nM_24h	CCRF-CEM	vorinostat	0nM	24h	Leukemia
COLO-205_vorinostat_0nM_24h	COLO-205	vorinostat	0nM	24h	Colon
DU-145_vorinostat_0nM_24h	DU-145	vorinostat	0nM	24h	Prostate
EKVX_vorinostat_0nM_24h	EKVX	vorinostat	0nM	24h	Lung
HCC-2998_vorinostat_0nM_24h	HCC-2998	vorinostat	0nM	24h	Colon
HCT-116_vorinostat_0nM_24h	HCT-116	vorinostat	0nM	24h	Colon
HCT-15_vorinostat_0nM_24h	HCT-15	vorinostat	0nM	24h	Colon
HL-60_vorinostat_0nM_24h	HL-60	vorinostat	0nM	24h	Leukemia
HOP-62_vorinostat_0nM_24h	HOP-62	vorinostat	0nM	24h	Lung
HOP-92_vorinostat_0nM_24h	HOP-92	vorinostat	0nM	24h	Lung
HS-578T_vorinostat_0nM_24h	HS-578T	vorinostat	0nM	24h	Breast
HT29_vorinostat_0nM_24h	HT29	vorinostat	0nM	24h	Colon
IGR-OV1_vorinostat_0nM_24h	IGR-OV1	vorinostat	0nM	24h	Ovarian
K-562_vorinostat_0nM_24h	K-562	vorinostat	0nM	24h	Leukemia
KM12_vorinostat_0nM_24h	KM12	vorinostat	0nM	24h	Colon
LOX_vorinostat_0nM_24h	LOX	vorinostat	0nM	24h	Melanoma
M14_vorinostat_0nM_24h	M14	vorinostat	0nM	24h	Melanoma
MALME-3M_vorinostat_0nM_24h	MALME-3M	vorinostat	0nM	24h	Melanoma
MCF7_vorinostat_0nM_24h	MCF7	vorinostat	0nM	24h	Breast
MDA-MB-231_vorinostat_0nM_24h	MDA-MB-231	vorinostat	0nM	24h	Breast
MDA-MB-435_vorinostat_0nM_24h	MDA-MB-435	vorinostat	0nM	24h	Melanoma
MDA-MB-468_vorinostat_0nM_24h	MDA-MB-468	vorinostat	0nM	24h	Breast
MOLT-4_vorinostat_0nM_24h	MOLT-4	vorinostat	0nM	24h	Leukemia
NCI-ADR-RES_vorinostat_0nM_24h	NCI-ADR-RES	vorinostat	0nM	24h	Ovarian
NCI-H226_vorinostat_0nM_24h	NCI-H226	vorinostat	0nM	24h	Lung
NCI-H23_vorinostat_0nM_24h	NCI-H23	vorinostat	0nM	24h	Lung
NCI-H322M_vorinostat_0nM_24h	NCI-H322M	vorinostat	0nM	24h	Lung
NCI-H460_vorinostat_0nM_24h	NCI-H460	vorinostat	0nM	24h	Lung
NCI-H522_vorinostat_0nM_24h	NCI-H522	vorinostat	0nM	24h	Lung
OVCAR-3_vorinostat_0nM_24h	OVCAR-3	vorinostat	0nM	24h	Ovarian
OVCAR-4_vorinostat_0nM_24h	OVCAR-4	vorinostat	0nM	24h	Ovarian
OVCAR-5_vorinostat_0nM_24h	OVCAR-5	vorinostat	0nM	24h	Ovarian
OVCAR-8_vorinostat_0nM_24h	OVCAR-8	vorinostat	0nM	24h	Ovarian
PC-3_vorinostat_0nM_24h	PC-3	vorinostat	0nM	24h	Prostate
RXF-393_vorinostat_0nM_24h	RXF-393	vorinostat	0nM	24h	Renal
SF-268_vorinostat_0nM_24h	SF-268	vorinostat	0nM	24h	CNS
SF-295_vorinostat_0nM_24h	SF-295	vorinostat	0nM	24h	CNS
SF-539_vorinostat_0nM_24h	SF-539	vorinostat	0nM	24h	CNS
SK-MEL-2_vorinostat_0nM_24h	SK-MEL-2	vorinostat	0nM	24h	Melanoma
SK-MEL-28_vorinostat_0nM_24h	SK-MEL-28	vorinostat	0nM	24h	Melanoma
SK-MEL-5_vorinostat_0nM_24h	SK-MEL-5	vorinostat	0nM	24h	Melanoma
SK-OV-3_vorinostat_0nM_24h	SK-OV-3	vorinostat	0nM	24h	Ovarian
SN12C_vorinostat_0nM_24h	SN12C	vorinostat	0nM	24h	Renal
SNB-19_vorinostat_0nM_24h	SNB-19	vorinostat	0nM	24h	CNS
SNB-75_vorinostat_0nM_24h	SNB-75	vorinostat	0nM	24h	CNS
SR_vorinostat_0nM_24h	SR	vorinostat	0nM	24h	Leukemia
SW-620_vorinostat_0nM_24h	SW-620	vorinostat	0nM	24h	Colon
T-47D_vorinostat_0nM_24h	T-47D	vorinostat	0nM	24h	Breast
TK-10_vorinostat_0nM_24h	TK-10	vorinostat	0nM	24h	Renal
U251_vorinostat_0nM_24h	U251	vorinostat	0nM	24h	CNS
UACC-257_vorinostat_0nM_24h	UACC-257	vorinostat	0nM	24h	Melanoma
UACC-62_vorinostat_0nM_24h	UACC-62	vorinostat	0nM	24h	Melanoma
UO-31_vorinostat_0nM_24h	UO-31	vorinostat	0nM	24h	Renal
